名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
虞美人（一）,江苏省,扬州市,五声,羽调,0.36,3.689176637,0.799822522,2.303030303,0,0.196969697,0,0.212121212,0,0.121212121,0,0,0.166666667,0,0.303030303,0,0
要我唱唱我不难,江苏省,洪泽县,五声,羽调,0.578205128,2.264440492,0.555371497,1.509433962,0,0.264150943,0,0.113207547,0,0.301886792,0,0,0.056603774,0,0.264150943,0,0
要把圩堤修得好,江苏省,高淳县,五声,角调,0.557692308,3.211763603,0.717740563,2,0,0.151515152,0,0.121212121,0,0.454545455,0,0,0.121212121,0,0.151515152,0,0
起重号子,江苏省,苏州市,五声,羽调,0.320921986,2.880600756,0.683171188,3.120879121,0.021505376,0.182795699,0,0.440860215,0,0.204301075,0,0,0.053763441,0,0.096774194,0,0
起锚号子(二),江苏省,靖江市,五声,羽调,0.420512821,3.064841754,0.609578491,1.918367347,0.01010101,0.171717172,0,0.262626263,0,0.232323232,0,0,0.070707071,0,0.252525253,0,0
车他个东方发了白,江苏省,兴化市,五声,宫调,0.361290323,4.622128436,0.510310363,2.578512397,0.016260163,0.260162602,0,0.268292683,0,0.105691057,0,0,0.12195122,0,0.227642276,0,0
送郎(三),江苏省,海门市,五声,徵调,0.299193548,2.552487877,0.373205341,2.509803922,0,0.254901961,0,0.156862745,0,0.137254902,0,0,0.254901961,0,0.196078431,0,0
郎唱山歌像铜铃(二),江苏省,苏州市,六声,徵调,0.400769231,2.875320402,0.622965007,1.517241379,0.033333333,0.233333333,0,0.077777778,0,0.1,0,0,0.222222222,0,0.322222222,0,0.011111111
郑元和是个唱歌郎,江苏省,金坛市,五声,徵调,0.265819209,4.461664386,0.661586926,2.282051282,0.018867925,0.150943396,0,0.34591195,0,0.251572327,0,0,0.119496855,0,0.113207547,0,0
金铃塔（一）,江苏省,苏州市,六声,宫调,0.357417582,4.361314792,0.608647125,1.393939394,0.014925373,0.134328358,0,0.089552239,0,0.223880597,0,0,0.328358209,0,0.171641791,0,0.037313433
锣鼓一打十个番,江苏省,高邮市,五声,徵调,0.345348837,2.043096901,0.463547229,1.833333333,0,0.208333333,0,0.354166667,0,0.166666667,0,0,0.125,0,0.145833333,0,0
长工四季苦（二）,江苏省,宜兴市,五声,羽调,0.384507042,2.508638325,0.957124842,1.714285714,0,0.095238095,0,0.119047619,0,0.357142857,0,0,0.285714286,0,0.142857143,0,0
